text,size,topic
coronavirus_antigen,18,0
coronavirus_detection,59,0
public_health,15,0
primer_group,24,0
immunoassay_detection,16,0
genetic_engineering,25,0
preparation_method,468,0
construction_method,23,0
colloidal_gold,32,0
recombinant_coronavirus,13,0
coronavirus_protein,22,0
coronavirus_vaccine,15,0
detection_kit,30,0
coronavirus_nucleic_acid,28,0
recombinant_protein,11,0
application_msc,11,0
coronavirus_sars-cov-2,52,0
biological_medicine,49,0
infectious_disease_prevention,10,0
coronavirus_igm,15,0
coronavirus_antibody,29,0
test_strip,21,0
coronavirus_nucleic,28,0
coronavirus_detection_kit,14,0
application_method,10,0
biological_detection,58,0
infectious_disease,62,0
food_processing,11,0
virus_detection,83,0
pharmaceutical_chemistry,20,0
coronavirus_nucleic_acid_detection,14,0
antiviral_drug,11,0
